"Categoria","Facultad.SIDI","Participacion"
"Catedrática/o","F. DERECHO","8.05%"
"Catedrática/o","F. EDUCACION-CENTRO FORMACION PROFESOR","2.08%"
"Catedrática/o","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","0.26%"
"Catedrática/o","F. ESTUDIOS ESTADISTICOS","0.39%"
"Catedrática/o","F. FARMACIA","5.97%"
"Catedrática/o","F. FILOLOGIA","7.53%"
"Catedrática/o","F. FILOSOFIA","1.82%"
"Catedrática/o","F. GEOGRAFIA E HISTORIA","5.32%"
"Catedrática/o","F. INFORMATICA","3.77%"
"Catedrática/o","F. MEDICINA","8.31%"
"Catedrática/o","F. ODONTOLOGIA","0.65%"
"Catedrática/o","F. OPTICA Y OPTOMETRIA","0.91%"
"Catedrática/o","F. PSICOLOGIA","2.73%"
"Catedrática/o","F. TRABAJO SOCIAL","0.26%"
"Catedrática/o","F. VETERINARIA","7.92%"
"Distinguido","F. FILOLOGIA","50.00%"
"Distinguido","F. MEDICINA","50.00%"
"Emérita/o","F. BELLAS ARTES","1.79%"
"Emérita/o","F. CIENCIAS BIOLOGICAS","1.79%"
"Emérita/o","F. CIENCIAS DE LA INFORMACION","1.79%"
"Emérita/o","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","3.57%"
"Emérita/o","F. CIENCIAS FISICAS","4.46%"
"Emérita/o","F. CIENCIAS GEOLOGICAS","2.68%"
"Emérita/o","F. CIENCIAS MATEMATICAS","6.25%"
"Emérita/o","F. CIENCIAS POLITICAS Y SOCIOLOGIA","3.57%"
"Emérita/o","F. CIENCIAS QUIMICAS","6.25%"
"Emérita/o","F. DERECHO","5.36%"
"Emérita/o","F. EDUCACION-CENTRO FORMACION PROFESOR","3.57%"
"Emérita/o","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","0.89%"
"Emérita/o","F. FARMACIA","7.14%"
"Emérita/o","F. FILOLOGIA","10.71%"
"Emérita/o","F. FILOSOFIA","2.68%"
"Emérita/o","F. GEOGRAFIA E HISTORIA","10.71%"
"Emérita/o","F. MEDICINA","17.86%"
"Emérita/o","F. ODONTOLOGIA","1.79%"
"Emérita/o","F. PSICOLOGIA","5.36%"
"Emérita/o","F. VETERINARIA","1.79%"
"PDI Colaborador","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","10.71%"
"PDI Colaborador","F. CIENCIAS MATEMATICAS","3.57%"
"PDI Colaborador","F. CIENCIAS POLITICAS Y SOCIOLOGIA","14.29%"
"PDI Colaborador","F. DERECHO","7.14%"
"PDI Colaborador","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","3.57%"
"PDI Colaborador","F. FILOLOGIA","3.57%"
"PDI Colaborador","F. GEOGRAFIA E HISTORIA","3.57%"
"PDI Colaborador","F. INFORMATICA","17.86%"
"PDI Colaborador","F. OPTICA Y OPTOMETRIA","21.43%"
"PDI Colaborador","F. TRABAJO SOCIAL","10.71%"
"PDI Colaborador","F. VETERINARIA","3.57%"
"PDI Contratado Doctor","F. BELLAS ARTES","5.72%"
"PDI Contratado Doctor","F. CIENCIAS BIOLOGICAS","6.24%"
"PDI Contratado Doctor","F. CIENCIAS DE LA DOCUMENTACION","0.26%"
"PDI Contratado Doctor","F. CIENCIAS DE LA INFORMACION","6.37%"
"PDI Contratado Doctor","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","6.76%"
"PDI Contratado Doctor","F. CIENCIAS FISICAS","3.51%"
"PDI Contratado Doctor","F. CIENCIAS GEOLOGICAS","1.82%"
"PDI Contratado Doctor","F. CIENCIAS MATEMATICAS","2.47%"
"PDI Contratado Doctor","F. CIENCIAS POLITICAS Y SOCIOLOGIA","6.50%"
"PDI Contratado Doctor","F. CIENCIAS QUIMICAS","3.12%"
"PDI Contratado Doctor","F. COMERCIO Y TURISMO","1.56%"
"PDI Contratado Doctor","F. DERECHO","5.59%"
"PDI Contratado Doctor","F. EDUCACION-CENTRO FORMACION PROFESOR","7.02%"
"PDI Contratado Doctor","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","2.47%"
"PDI Contratado Doctor","F. ESTUDIOS ESTADISTICOS","0.39%"
"PDI Contratado Doctor","F. FARMACIA","4.68%"
"PDI Contratado Doctor","F. FILOLOGIA","6.89%"
"PDI Contratado Doctor","F. FILOSOFIA","1.95%"
"PDI Contratado Doctor","F. GEOGRAFIA E HISTORIA","3.25%"
"PDI Contratado Doctor","F. INFORMATICA","3.77%"
"PDI Contratado Doctor","F. MEDICINA","4.16%"
"PDI Contratado Doctor","F. ODONTOLOGIA","3.25%"
"PDI Contratado Doctor","F. OPTICA Y OPTOMETRIA","1.43%"
"PDI Contratado Doctor","F. PSICOLOGIA","3.64%"
"PDI Contratado Doctor","F. TRABAJO SOCIAL","2.21%"
"PDI Contratado Doctor","F. VETERINARIA","4.94%"
"PI","F. BELLAS ARTES","1.66%"
"PI","F. CIENCIAS BIOLOGICAS","7.21%"
"PI","F. CIENCIAS DE LA DOCUMENTACION","0.49%"
"PI","F. CIENCIAS DE LA INFORMACION","1.91%"
"PI","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","1.17%"
"PI","F. CIENCIAS FISICAS","15.10%"
"PI","F. CIENCIAS GEOLOGICAS","2.40%"
"PI","F. CIENCIAS MATEMATICAS","2.40%"
"PI","F. CIENCIAS POLITICAS Y SOCIOLOGIA","4.62%"
"PI","F. CIENCIAS QUIMICAS","13.43%"
"PI","F. COMERCIO Y TURISMO","0.25%"
"PI","F. DERECHO","1.48%"
"PI","F. EDUCACION-CENTRO FORMACION PROFESOR","1.54%"
"PI","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","0.49%"
"PI","F. ESTUDIOS ESTADISTICOS","0.12%"
"PI","F. FARMACIA","6.41%"
"PI","F. FILOLOGIA","5.48%"
"PI","F. FILOSOFIA","3.20%"
"PI","F. GEOGRAFIA E HISTORIA","8.13%"
"PI","F. INFORMATICA","3.64%"
"PI","F. MEDICINA","7.09%"
"PI","F. ODONTOLOGIA","1.29%"
"PI","F. OPTICA Y OPTOMETRIA","1.11%"
"PI","F. PSICOLOGIA","3.82%"
"PI","F. TRABAJO SOCIAL","0.18%"
"PI","F. VETERINARIA","5.36%"
"Profesor Permanente Laboral","F. BELLAS ARTES","2.93%"
"Profesor Permanente Laboral","F. CIENCIAS BIOLOGICAS","6.96%"
"Profesor Permanente Laboral","F. CIENCIAS DE LA DOCUMENTACION","1.10%"
"Profesor Permanente Laboral","F. CIENCIAS DE LA INFORMACION","4.40%"
"Profesor Permanente Laboral","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","2.56%"
"Profesor Permanente Laboral","F. CIENCIAS FISICAS","3.66%"
"Profesor Permanente Laboral","F. CIENCIAS GEOLOGICAS","1.10%"
"Profesor Permanente Laboral","F. CIENCIAS MATEMATICAS","1.83%"
"Profesor Permanente Laboral","F. CIENCIAS POLITICAS Y SOCIOLOGIA","5.49%"
"Profesor Permanente Laboral","F. CIENCIAS QUIMICAS","4.76%"
"Profesor Permanente Laboral","F. COMERCIO Y TURISMO","1.83%"
"Profesor Permanente Laboral","F. DERECHO","4.76%"
"Profesor Permanente Laboral","F. EDUCACION-CENTRO FORMACION PROFESOR","3.30%"
"Profesor Permanente Laboral","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","2.56%"
"Profesor Permanente Laboral","F. ESTUDIOS ESTADISTICOS","0.73%"
"Profesor Permanente Laboral","F. FARMACIA","8.79%"
"Profesor Permanente Laboral","F. FILOLOGIA","10.99%"
"Profesor Permanente Laboral","F. FILOSOFIA","2.56%"
"Profesor Permanente Laboral","F. GEOGRAFIA E HISTORIA","6.96%"
"Profesor Permanente Laboral","F. INFORMATICA","2.20%"
"Profesor Permanente Laboral","F. MEDICINA","6.23%"
"Profesor Permanente Laboral","F. ODONTOLOGIA","2.20%"
"Profesor Permanente Laboral","F. OPTICA Y OPTOMETRIA","1.47%"
"Profesor Permanente Laboral","F. PSICOLOGIA","5.86%"
"Profesor Permanente Laboral","F. TRABAJO SOCIAL","1.10%"
"Profesor Permanente Laboral","F. VETERINARIA","3.66%"
"Sustituto","F. BELLAS ARTES","3.90%"
"Sustituto","F. CIENCIAS BIOLOGICAS","1.39%"
"Sustituto","F. CIENCIAS DE LA DOCUMENTACION","1.11%"
"Sustituto","F. CIENCIAS DE LA INFORMACION","7.24%"
"Sustituto","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","7.80%"
"Sustituto","F. CIENCIAS FISICAS","0.28%"
"Sustituto","F. CIENCIAS GEOLOGICAS","1.95%"
"Sustituto","F. CIENCIAS MATEMATICAS","2.79%"
"Sustituto","F. CIENCIAS POLITICAS Y SOCIOLOGIA","12.26%"
"Sustituto","F. CIENCIAS QUIMICAS","0.56%"
"Sustituto","F. COMERCIO Y TURISMO","5.01%"
"Sustituto","F. DERECHO","9.75%"
"Sustituto","F. EDUCACION-CENTRO FORMACION PROFESOR","10.03%"
"Sustituto","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","3.34%"
"Sustituto","F. ESTUDIOS ESTADISTICOS","1.67%"
"Sustituto","F. FARMACIA","3.90%"
"Sustituto","F. FILOLOGIA","6.41%"
"Sustituto","F. FILOSOFIA","0.84%"
"Sustituto","F. GEOGRAFIA E HISTORIA","4.46%"
"Sustituto","F. INFORMATICA","2.79%"
"Sustituto","F. MEDICINA","0.56%"
"Sustituto","F. ODONTOLOGIA","2.79%"
"Sustituto","F. OPTICA Y OPTOMETRIA","1.39%"
"Sustituto","F. PSICOLOGIA","5.57%"
"Sustituto","F. TRABAJO SOCIAL","1.39%"
"Sustituto","F. VETERINARIA","0.84%"
"Titular de E.U.","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","4.35%"
"Titular de E.U.","F. CIENCIAS POLITICAS Y SOCIOLOGIA","4.35%"
"Titular de E.U.","F. COMERCIO Y TURISMO","8.70%"
"Titular de E.U.","F. DERECHO","4.35%"
"Titular de E.U.","F. EDUCACION-CENTRO FORMACION PROFESOR","8.70%"
"Titular de E.U.","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","13.04%"
"Titular de E.U.","F. ESTUDIOS ESTADISTICOS","8.70%"
"Titular de E.U.","F. FARMACIA","4.35%"
"Titular de E.U.","F. FILOLOGIA","4.35%"
"Titular de E.U.","F. MEDICINA","4.35%"
"Titular de E.U.","F. OPTICA Y OPTOMETRIA","4.35%"
"Titular de E.U.","F. TRABAJO SOCIAL","17.39%"
"Titular de E.U.","F. VETERINARIA","13.04%"
"Titular de Universidad","F. BELLAS ARTES","3.22%"
"Titular de Universidad","F. CIENCIAS BIOLOGICAS","3.80%"
"Titular de Universidad","F. CIENCIAS DE LA DOCUMENTACION","1.61%"
"Titular de Universidad","F. CIENCIAS DE LA INFORMACION","5.15%"
"Titular de Universidad","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","6.57%"
"Titular de Universidad","F. CIENCIAS FISICAS","3.86%"
"Titular de Universidad","F. CIENCIAS GEOLOGICAS","2.70%"
"Titular de Universidad","F. CIENCIAS MATEMATICAS","2.51%"
"Titular de Universidad","F. CIENCIAS POLITICAS Y SOCIOLOGIA","5.09%"
"Titular de Universidad","F. CIENCIAS QUIMICAS","5.67%"
"Titular de Universidad","F. COMERCIO Y TURISMO","1.29%"
"Titular de Universidad","F. DERECHO","5.60%"
"Titular de Universidad","F. EDUCACION-CENTRO FORMACION PROFESOR","4.25%"
"Titular de Universidad","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","1.35%"
"Titular de Universidad","F. ESTUDIOS ESTADISTICOS","1.80%"
"Titular de Universidad","F. FARMACIA","5.80%"
"Titular de Universidad","F. FILOLOGIA","5.86%"
"Titular de Universidad","F. FILOSOFIA","2.12%"
"Titular de Universidad","F. GEOGRAFIA E HISTORIA","7.02%"
"Titular de Universidad","F. INFORMATICA","3.54%"
"Titular de Universidad","F. MEDICINA","7.98%"
"Titular de Universidad","F. ODONTOLOGIA","1.48%"
"Titular de Universidad","F. OPTICA Y OPTOMETRIA","2.32%"
"Titular de Universidad","F. PSICOLOGIA","3.93%"
"Titular de Universidad","F. TRABAJO SOCIAL","0.77%"
"Titular de Universidad","F. VETERINARIA","4.70%"
"Visitante","F. CIENCIAS DE LA INFORMACION","7.14%"
"Visitante","F. CIENCIAS MATEMATICAS","7.14%"
"Visitante","F. CIENCIAS POLITICAS Y SOCIOLOGIA","14.29%"
"Visitante","F. DERECHO","7.14%"
"Visitante","F. EDUCACION-CENTRO FORMACION PROFESOR","7.14%"
"Visitante","F. FILOLOGIA","42.86%"
"Visitante","F. MEDICINA","7.14%"
"Visitante","F. OPTICA Y OPTOMETRIA","7.14%"
