"Categoria","Ano","Hombre","Mujer"
"PDI Visitante","2017","52.94%","47.06%"
"PDI Visitante","2018","72.73%","27.27%"
"PDI Visitante","2019","54.55%","45.45%"
"PDI Visitante","2020","42.86%","57.14%"
"PDI Visitante","2021","52.38%","47.62%"
"PDI Visitante","2022","53.33%","46.67%"
"PDI Visitante","2023","46.43%","53.57%"
"PDI Visitante","2024","52.63%","47.37%"
"PDI Visitante","2025","50.00%","50.00%"
"Personal Investigador (PI)","2007","40.46%","59.54%"
"Personal Investigador (PI)","2008","40.26%","59.74%"
"Personal Investigador (PI)","2009","45.17%","54.83%"
"Personal Investigador (PI)","2010","46.60%","53.40%"
"Personal Investigador (PI)","2011","44.49%","55.51%"
"Personal Investigador (PI)","2012","44.46%","55.54%"
"Personal Investigador (PI)","2013","44.32%","55.68%"
"Personal Investigador (PI)","2014","44.75%","55.25%"
"Personal Investigador (PI)","2015","46.41%","53.59%"
"Personal Investigador (PI)","2016","48.97%","51.03%"
"Personal Investigador (PI)","2017","49.75%","50.25%"
"Personal Investigador (PI)","2018","49.24%","50.76%"
"Personal Investigador (PI)","2019","49.71%","50.29%"
"Personal Investigador (PI)","2020","49.97%","50.03%"
"Personal Investigador (PI)","2021","47.90%","52.10%"
"Personal Investigador (PI)","2022","47.68%","52.32%"
"Personal Investigador (PI)","2023","48.54%","51.46%"
"Personal Investigador (PI)","2024","49.08%","50.92%"
"Personal Investigador (PI)","2025","48.81%","51.19%"
"Titular de E.U.","2007","42.04%","57.96%"
"Titular de E.U.","2008","42.60%","57.40%"
"Titular de E.U.","2009","42.71%","57.29%"
"Titular de E.U.","2010","41.54%","58.46%"
"Titular de E.U.","2011","42.36%","57.64%"
"Titular de E.U.","2012","44.06%","55.94%"
"Titular de E.U.","2013","45.30%","54.70%"
"Titular de E.U.","2014","47.17%","52.83%"
"Titular de E.U.","2015","47.26%","52.74%"
"Titular de E.U.","2016","45.52%","54.48%"
"Titular de E.U.","2017","46.15%","53.85%"
"Titular de E.U.","2018","47.62%","52.38%"
"Titular de E.U.","2019","48.31%","51.69%"
"Titular de E.U.","2020","48.24%","51.76%"
"Titular de E.U.","2021","50.00%","50.00%"
"Titular de E.U.","2022","50.00%","50.00%"
"Titular de E.U.","2023","52.50%","47.50%"
"Titular de E.U.","2024","41.38%","58.62%"
"Titular de E.U.","2025","43.48%","56.52%"
"Titular de Universidad","2007","54.72%","45.28%"
"Titular de Universidad","2008","53.80%","46.20%"
"Titular de Universidad","2009","53.47%","46.53%"
"Titular de Universidad","2010","53.61%","46.39%"
"Titular de Universidad","2011","53.39%","46.61%"
"Titular de Universidad","2012","53.29%","46.71%"
"Titular de Universidad","2013","53.15%","46.85%"
"Titular de Universidad","2014","52.64%","47.36%"
"Titular de Universidad","2015","52.41%","47.59%"
"Titular de Universidad","2016","51.91%","48.09%"
"Titular de Universidad","2017","51.95%","48.05%"
"Titular de Universidad","2018","52.19%","47.81%"
"Titular de Universidad","2019","51.58%","48.42%"
"Titular de Universidad","2020","51.01%","48.99%"
"Titular de Universidad","2021","50.81%","49.19%"
"Titular de Universidad","2022","50.06%","49.94%"
"Titular de Universidad","2023","50.00%","50.00%"
"Titular de Universidad","2024","49.05%","50.95%"
"Titular de Universidad","2025","48.94%","51.06%"
